gene_id	synonym
LOC116183398	LOC116183398
LOC116183403	LOC116183403
LOC116183407	LOC116183407
LOC116183410	LOC116183410
LOC116183415	LOC116183415
LOC116183432	LOC116183432
LOC116183536	LOC116183536
LOC116184091	LOC116184091
LOC116184105	LOC116184105
LOC116184146	LOC116184146
LOC116184147	LOC116184147
LOC116184156	LOC116184156
LOC116184159	LOC116184159
LOC116184161	LOC116184161
LOC116184162	LOC116184162
LOC116184163	LOC116184163
LOC116184166	LOC116184166
LOC116184224	LOC116184224
LOC116184225	LOC116184225
LOC116184345	LOC116184345
LOC116184375	LOC116184375
LOC116184386	LOC116184386
LOC116184390	LOC116184390
LOC116184413	LOC116184413
LOC116184415	LOC116184415
LOC116184424	LOC116184424
LOC116184430	LOC116184430
LOC116184483	LOC116184483
LOC116184490	LOC116184490
LOC116184491	LOC116184491
LOC116184493	LOC116184493
LOC110469317	LOC110469317
LOC110469319	LOC110469319
LOC110469320	LOC110469320
LOC110469329	IKBIP
LOC110469332	LOC110469332
LOC110469347	LOC110469347
LOC110469356	LOC110469356
LOC110469381	PAWR
LOC110469382	LOC110469382
LOC110469383	LOC110469383
LOC110469386	LOC110469386
LOC110469387	LOC110469387
LOC110469389	LOC110469389
LOC110469390	LOC110469390
LOC110469392	LOC110469392
LOC110469417	LOC110469417
LOC110469431	LOC110469431
LOC110469432	LOC110469432
LOC110469434	GLIPR1
LOC110469438	LOC110469438
LOC110472733	LOC110472733
LOC110475196	LOC110475196
LOC110477989	CTSE-A
LOC110478000	MDM1_0
LOC110478001	LOC110478001
LOC110479850	MDM1_1
LOC110479878	TBC1D30
LOC110479881	LOC110479881
LOC110483060	LOC110483060
LOC110483064	LOC110483064
LOC110483065	LOC110483065
LOC110483066	H3_3
LOC110483068	H3_1
LOC110483069	LOC110483069
LOC110483073	LOC110483073
LOC110483074	TNFRSF13C
LOC110483077	MEI1
LOC110483097	GPRC5A
LOC110483098	LOC110483098
LOC110483102	LOC110483102
LOC110483108	LOC110483108
LOC110483109	LOC110483109
LOC110483112	LOC110483112
LOC110483120	LOC110483120
LOC110483126	LOC110483126
LOC110483128	LOC110483128
LOC110483129	CYP2D3
LOC110483130	LOC110483130
LOC110483133	LOC110483133
LOC110483134	LOC110483134
LOC110483136	SLC23A1_1
LOC110483144	LOC110483144
LOC110483146	HSPA12B_0
LOC110483147	LOC110483147
LOC110483155	LOC110483155
LOC110483156	LOC110483156
LOC110483159	H110
LOC110483160	H101_0
LOC110483161	LOC110483161
LOC110483162	LOC110483162
LOC110483163	H2B-I_1
LOC110483164	LOC110483164
LOC110483165	LOC110483165
LOC110483166	LOC110483166
LOC110483167	H2B-I_2
LOC110483169	H2B-VIII
LOC110483170	H2B-I_0
LOC110483171	H2B-VII
LOC110483172	H101_1
LOC110483173	LOC110483173
LOC110483174	LOC110483174
LOC110483175	LOC110483175
LOC110483176	LOC110483176
LOC110483177	LOC110483177
LOC110483178	LOC110483178
LOC110483185	LOC110483185
LOC110483195	LUC7L2
LOC110483198	CYGB1
LOC116183110	LOC116183110
LOC116183148	LOC116183148
LOC116183149	LOC116183149
LOC116183150	LOC116183150
LOC116183151	LOC116183151
LOC116183153	LOC116183153
LOC116183172	LOC116183172
LOC116183173	LOC116183173
LOC116183174	LOC116183174
LOC116184522	LOC116184522
LOC116184545	LOC116184545
LOC116184597	LOC116184597
LOC116184611	LOC116184611
LOC116184613	LOC116184613
LOC116184637	LOC116184637
LOC116184642	LOC116184642
LOC116184707	LOC116184707
LOC116184709	LOC116184709
LOC116184745	LOC116184745
LOC116184751	LOC116184751
LOC116184805	LOC116184805
LOC116184806	LOC116184806
LOC110467616	LOC110467616
LOC110467620	H2B-V_1
LOC110467625	LOC110467625
LOC110467627	ALG10B
LOC110467629	LOC110467629
LOC110467630	LOC110467630
LOC110472920	ATP6V1E1_0
LOC110472922	LOC110472922
LOC110472938	SLC6A12
LOC110472946	LOC110472946
LOC110472947	GPR19_0
LOC110472951	LOC110472951
LOC110472953	SLC7A11_1
LOC110472954	PARP12_0
LOC110472955	SLCO1C1_2
LOC110472969	LOC110472969
LOC110472974	SLC6A1
LOC110472977	LOC110472977
LOC110472978	LOC110472978
LOC110472983	LOC110472983
LOC110472986	SLC6A13
LOC110472987	LOC110472987
LOC110472991	LOC110472991
LOC110472992	LOC110472992
LOC110472996	LOC110472996
LOC110472997	CECR2
LOC110473699	PARP12_1
LOC110473803	SVOPL
LOC110473828	LOC110473828
LOC110475671	SVOPL
LOC110477136	LOC110477136
LOC110478544	AVT
LOC110478547	PRL
LOC110478548	LOC110478548
LOC110478553	LOC110478553
LOC110478557	LOC110478557
LOC110479833	LOC110479833
LOC110479858	LOC110479858
LOC110479859	LOC110479859
LOC110479863	LOC110479863
LOC110479870	LOC110479870
LOC110480422	LOC110480422
LOC110481816	SI
